filepath,label,subset
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_12331.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_10526.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_01562.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_10240.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_13991.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_01196.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_07885.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_05665.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_01828.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_09664.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_09857.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_00505.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11942.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_03030.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_07852.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11567.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_00908.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_07305.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_01760.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_07258.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_08778.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_02255.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_12046.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_10889.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_05498.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_09499.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_12696.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_01832.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_12866.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_01343.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_07488.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_01991.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_08624.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_09694.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_00868.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_00698.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_12126.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_13238.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_08195.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_00883.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_10863.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-1(2)(1,1)_06647.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_00655.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_03201.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_11994.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11163.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_02730.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_11016.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_05088.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_09333.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_12481.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_10282.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_02693.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11837.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_12325.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_13013.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_07700.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_03214.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_01550.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_10095.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_12872.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_04414.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_00666.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_10686.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_09261.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_09507.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_07502.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11360.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11412.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_03942.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_08786.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-1(2)(1,1)_07410.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_08142.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_11375.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_10122.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_03771.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_07462.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_10491.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-1(2)(1,1)_05993.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(4,1)_12128.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_04591.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_07926.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11994.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_13774.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_11177.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_11980.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-2(1,1)_10308.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_12324.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_14025.png",0,dataset_train
"dataset_train/0/(edit) Unit 1 1-5(1)(3,1)_09706.png",0,dataset_train
